,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Click here to rate your burgers,Sheet by @steffenrusten,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burger Name,Restaurant,Sort,Burger Description, Side?, Price, Beer, Price w/beer,Rating (1-5),, Dairy Free, Gluten Free, Vegetarian, Vegan, Nut Free,, Beef, Chicken, Duck, Lamb, Pork, Seafood, Sweet, Vegetarian, Venison, Alternative Meat, Other,, Pickles?, Chilli?, Fries?
,Marinara Moneyball,1154 Pastaria,1154 pastaria,"Italian-spiced pork and beef meatball with housemade marinara sauce, melted mozzarella and basil in a Brezelmania parmesan and rosemary steamed milk bun.",,$12,Noon Juice,$20,3.0,,,,,,Yes,,X,,,,X,,,,,,,,,,
,Wild Scotsman,1815 Café & Bar,1815 café & bar,"Wairarapa venison patty with beetroot chutney in a Scottish Mornington bun, with Prestons haggis bonbons and spiced redcurrant sauce.",Yes,$24,Fugazi,$34,,,,,,,,,,,,,,,,,X,,,,,,
,The Foghorn,7Bar & Eatery,7bar & eatery,"Chilli-glazed chicken thigh with smashed avocado, smoked cheese, tomato, gherkins, cos lettuce and aioli in a Zaida's milk bun, with paprika shoestring fries.",Yes,$20,,,,,,Possible,,,Possible,,,X,,,,,,,,,,,,X,X
,Risk it for the Brisket,Amador,amador,"Beef brisket patty with caramelised onions, bacon onion jam, Hanging Ditch pickles and smoked cheese in a Leeds Street Bakery polenta bun.",,$18,Noon Juice,$25,,,,,,,,,X,,,,,,,,,,,,X,,
,Rise of the Phoenix,Apachè,apachè,"Earthend mānuka honey and sriracha caramelised chicken with housemade kimchi, coriander and makrut lime in a fried spring onion bun with popcorn chicken, candied peanuts, makrut lime and chilli mayonnaise.",Yes,$22,DFA,$33,,,,,,,Possible,,,X,,,,,,,,,,,,X,
,"""Say Cheese"" said the Rarebit",Arborist Rooftop Bar & Eatery,arborist rooftop bar & eatery,"Rocket Smallgoods Angus beef patty with pork crackle crumb, tamarillo chutney, lettuce and pickles in a brioche bun, with jalapeño potato skins and a jug of Welsh rarebit cheese sauce made with Garage Project White Mischief.",Yes,$25,Pickle Beer,$35,,,,,Possible,,,,X,,,,X,,,,,,,,X,,
,The Hunter,Arcimboldi,arcimboldi,"Awatoru Wildfood venison patty with millionaire's bacon, fried onions, rocket and Dijon Zany Zeus crème fraîche in a Zaida's sesame bun, with housecut fries.",Yes,$24,Cereal Milk Stout,$34,,,Possible,,,,Yes,,,,,,,,,,X,,,,,,X
,The Flaming Tandoori Chook,Aro Bar,aro bar,"Flaming Tandoori chicken with curried crème fraîche slaw and pickled red onions in a housemade turmeric bun, with masala fries and tamarind mayonnaise.",Yes,$25,,,,,,,,,,,,X,,,,,,,,,,,X,,X
,The Poaka,Aro Cafe,aro cafe,"Pulled pork with Kingsmeade Tinui Blue, caramelised onions, salad and puha mayonnaise in a kawakawa infused brioche bun, with kūmara chips.",Yes,$22,Hāpi Daze,$32,,,,,,,,,,,,,X,,,,,,,,,,
,The Bene,Astoria,astoria,"Island Bay Butchery pork sausage patty with poached egg, bacon and hollandaise in a housemade English muffin bun, with potato pom poms.",,$21,Fugazi,$30,,,Possible,,,,Yes,,,,,,X,,,,,,,,,,
,"Wagyu, Truffle and Bordelaise",Atlas,atlas,"Wagyu chuck with truffle flavoured Zany Zeus mascarpone, smoked bone marrow and Bordelaise sauce in a pine nut brioche bun.",,$30,Pickle Beer,$40,,,,,,,,,X,,,,,,,,,,,,,,
,Roll Over... BOOMER!,The Backbencher Gastropub,backbencher gastropub,"Massaman pulled lamb with a brown basmati and wild rice rosti, Fix & Fogg savoy salsa, tomato, red onion and papadum in a chargrilled naan, with oven-baked Kashmiri red jacket wedges.",,$18,Bliss,$25,,,Yes,,Possible,Possible,,,,,,X,,,,,,,,,,,
,Oko NOMNOMNOM iyaki,BambuchiSan,bambuchisan,"Beef patty with housemade cheese, garlic and dill pickles and mustard in a okonomiyaki bun topped with tonkatsu, Japanese mayonnaise and bonito flakes.",,$23,Pickle Beer,$32,,,Possible,Possible,,,,,X,,,,,,,,,,,,X,,
,Fuji Fusion,Bao Boy,bao boy,"Wild Chef sweetcorn, kūmara, ginger and lemongrass patty with housemade edamame hummus, coconut dressed bok choy and housepickled red onions in a mini bao bun, with white corn chips.",Yes,$12,,,,,Yes,,,Yes,Yes,,,,,,,,,X,,,,,X,,
